model,param,value,val_MAE,val_RMSE,training_time_seconds
Ridge,alpha,0.01,137.283,173.624,0.001642
Ridge,alpha,0.1,137.2829,173.624,0.001348
Ridge,alpha,1.0,137.2825,173.6244,0.001296
Ridge,alpha,10.0,137.2781,173.6294,0.001259
Ridge,alpha,100.0,137.2516,173.7223,0.001251
Ridge,alpha,500.0,137.1686,174.2546,0.001276
Ridge,alpha,1000.0,137.1084,174.975,0.00124
RandomForest,"n_est=50,depth=None",50,51.2825,78.0391,1.914093
RandomForest,"n_est=100,depth=None",100,51.0193,77.741,3.538222
RandomForest,"n_est=200,depth=None",200,50.703,77.5476,7.129961
RandomForest,"n_est=100,depth=10",100,52.2317,76.7889,2.048777
RandomForest,"n_est=100,depth=20",100,51.1634,77.9261,3.298203
RandomForest,"n_est=200,depth=20",200,50.9239,77.9095,6.893021
GradientBoosting,n_estimators,25,78.0331,111.869,0.289049
GradientBoosting,n_estimators,50,63.8136,90.0594,0.583131
GradientBoosting,n_estimators,75,57.3106,81.1918,0.979893
GradientBoosting,n_estimators,100,55.1662,77.9013,1.321135
GradientBoosting,n_estimators,150,51.7549,73.3731,1.779216
GradientBoosting,n_estimators,200,49.597,71.0499,2.323172
GradientBoosting,n_estimators,300,47.4709,68.3384,3.440207
GradientBoosting,n_estimators,400,47.7057,68.8557,4.816887
GradientBoosting,n_estimators,500,46.9494,67.9745,6.013464
MLP,"layers=(64,)","(64,)",63.0382,95.8237,5.186148
MLP,"layers=(128,)","(128,)",64.5912,95.1838,8.42508
MLP,"layers=(128,64)","(128, 64)",53.653,72.3766,18.737192
MLP,"layers=(256,128)","(256, 128)",52.3595,70.5292,66.490399
MLP,"layers=(128,64,32)","(128, 64, 32)",52.1749,78.9476,17.8188
